5.0	4.5	0.02	5.04	0.01	30000
5.0	4.5	0.01	5.04	0.01	35000
5.0	4.5	0.02	5.04	0.01	40000
5.0	4.5	0.01	5.04	0.01	35000
5.0	4.0	0.02 	5.04	0.01	30000
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.3	0.3	0.03	0.04	0.05	0.06
0.01	0.02	0.03	0.04	0.05	0.06
0.01	0.02	0.03	0.04	0.05	0.06
0.01	0.02	0.03	0.04	0.05	0.06
